EI,stratum,bm.vegetation,include,edit.notes
SR,nostrata,"Balsam Fir/Black Spruce Forest, Early-Mid",,
SR,nostrata,Wetland,,
TD,nostrata,"Balsam Fir/Black Spruce Forest, Early-Mid",,
TD,nostrata,Wetland,,
PCGF,Herb,"Balsam Fir/Black Spruce Forest, Early-Mid",,
PCGF,Bryophyte,Wetland,,
PCGF,Herb,Wetland,,
PCGF,Shrub,Wetland,,
PCGF,Tree,Wetland,,
PCGF,Bryophyte,"Balsam Fir/Black Spruce Forest, Early-Mid",,
PCGF,Shrub,"Balsam Fir/Black Spruce Forest, Early-Mid",,
PCGF,Tree,"Balsam Fir/Black Spruce Forest, Early-Mid",,
GC,SubstrateWater,"Balsam Fir/Black Spruce Forest, Early-Mid",,
GC,SubstrateBedrock,"Balsam Fir/Black Spruce Forest, Early-Mid",,
GC,SubstrateOrganicMatter,"Balsam Fir/Black Spruce Forest, Early-Mid",,
GC,SubstrateMineralSoil,"Balsam Fir/Black Spruce Forest, Early-Mid",,
GC,SubstrateRocks,"Balsam Fir/Black Spruce Forest, Early-Mid",,
GC,SubstrateDecWood,"Balsam Fir/Black Spruce Forest, Early-Mid",,
GC,SubstrateOrganicMatter,Wetland,,
GC,SubstrateRocks,Wetland,,
GC,SubstrateWater,Wetland,T,
GC,SubstrateDecWood,Wetland,,
GC,SubstrateMineralSoil,Wetland,,
GC,SubstrateBedrock,Wetland,,
PCESS,Herb,"Balsam Fir/Black Spruce Forest, Early-Mid",,
PCESS,Herb,Wetland,,
PCESS,Shrub,Wetland,,
PCESS,Tree,Wetland,,
PCESS,Shrub,"Balsam Fir/Black Spruce Forest, Early-Mid",,
PCESS,Tree,"Balsam Fir/Black Spruce Forest, Early-Mid",,
